Motion,Light_1,Light_2,Light_3,"original_video_coor, cropped_video_coor, cropped_video_area,  x0, x1, y0, y1 (crop coordinate)",Bin,Motion_Thresholded,Motion_Thresholded_Binary
0.3544205937989113,1,0,1,,108,0.0,0
1.0539565922136205,1,0,1,,109,0.0,0
1.430384850174024,1,0,1,,110,0.0,0
1.4758781597613635,1,0,1,,111,0.0,0
0.2693025954131245,1,0,1,,112,0.0,0
1.46861544420223,1,0,1,,113,0.0,0
0.2433733962552679,1,0,1,,114,0.0,0
1.567972055712764,1,0,1,,115,0.0,0
0.2221645122509685,1,0,1,,116,0.0,0
1.669398011513772,1,0,1,,117,0.0,0
0.2044269232866355,1,0,1,,118,0.0,0
1.7628001094862742,1,0,1,,119,0.0,0
0.1892414569479399,1,0,1,,120,0.0,0
1.8473863137119515,1,0,1,,121,0.0,0
0.1759707910901384,1,0,1,,122,0.0,0
1.924192784402296,1,0,1,,123,0.0,0
0.1641602839333661,1,0,1,,124,0.0,0
1.994570556591024,1,0,1,,125,0.0,0
0.1534736967110829,1,0,1,,126,0.0,0
2.0598380919556245,1,0,1,,127,0.0,0
0.1436523747420623,1,0,1,,128,0.0,0
2.121258660582958,1,0,1,,129,0.0,0
0.1344876362937094,1,0,1,,130,0.0,0
2.1801737341163503,1,0,1,,131,0.0,0
0.1257994133601797,1,0,1,,132,0.0,0
2.238365272164778,1,0,1,,133,0.0,0
0.1174146730095628,1,0,1,,134,0.0,0
2.299113632509978,1,0,1,,135,0.0,0
0.1091340126717266,1,0,1,,136,0.0,0
2.3712221494815604,1,0,1,,137,0.0,0
0.1006464115038893,1,0,1,,138,0.0,0
2.4928839212446645,1,0,1,,139,0.0,0
0.091100614319262,1,0,1,,140,0.0,0
3.2455477872319043,1,0,1,,141,0.0,0
0.0864261416032068,1,0,1,,142,0.0,0
1.7538743500028402,1,0,1,,143,0.0,0
0.0576568940917037,1,0,1,,144,0.0,0
9.335654617875331,1,0,1,,145,0.0,0
0.0824696134662067,1,0,1,,146,0.0,0
7.655125452483527,1,0,1,,147,0.0,0
0.0930543227083537,1,0,1,,148,0.0,0
2.5177782152818224,1,0,1,,149,0.0,0
0.07291538578857,1,0,1,,150,0.0,0
1.9332800877868184,1,0,1,,151,0.0,0
0.855916418662399,1,0,1,,152,0.0,0
5.03070431491888,1,0,1,,153,0.0,0
0.0537590123690548,1,0,1,,154,0.0,0
3.581767697825249,1,0,1,,155,0.0,0
0.0426229039832946,1,0,1,,156,0.0,0
3.5185207366652844,1,0,1,,157,0.0,0
0.0270393180439283,1,0,1,,158,0.0,0
6.17171125309078,1,0,1,,159,0.0,0
0.0308402237043566,1,0,1,,160,0.0,0
5.353941670153148,1,0,1,,161,0.0,0
0.0242697262992158,1,0,1,,162,0.0,0
4.673136129125309,1,0,1,,163,0.0,0
0.0120910690260007,1,0,1,,164,0.0,0
4.9684593651862325,1,0,1,,165,0.0,0
0.0,1,0,1,,166,0.0,0
8.826268499923133,1,0,1,,167,0.0,0
11.451595547353998,1,0,1,,168,11.451595547353998,1
17.827643369791485,1,0,1,,169,17.827643369791485,1
3.417694198792623,1,0,1,,170,0.0,0
0.6834604267000415,1,0,1,,171,0.0,0
0.0,1,0,1,,172,0.0,0
4.607465155074273,1,0,0,,173,0.0,0
0.0,1,0,0,,174,0.0,0
32.92119425604116,1,0,1,,175,32.92119425604116,1
1.7367032955843522,1,0,1,,176,0.0,0
28.144887640351243,1,0,1,,177,28.144887640351243,1
13.53137239843324,1,0,1,,178,13.53137239843324,1
0.0316740327609972,1,0,1,,179,0.0,0
14.823310735623888,1,0,1,,180,14.823310735623888,1
25.89150873690434,1,0,1,,181,25.89150873690434,1
